"","country","v185","v186","v187"
"297","Austria",8,10,7
"298","Austria",4,4,3
"299","Austria",4,3,-1
"300","Austria",5,3,5
"301","Austria",9,9,9
"302","Austria",10,1,1
"303","Austria",10,10,10
"304","Austria",4,1,2
"305","Austria",10,7,10
"306","Austria",8,2,1
"307","Austria",8,3,3
"308","Austria",8,7,8
"309","Austria",5,3,4
"310","Austria",5,1,1
"311","Austria",10,4,1
"312","Austria",10,1,3
"313","Austria",6,2,3
"314","Austria",7,4,4
"315","Austria",3,1,1
"316","Austria",2,1,2
"317","Austria",5,4,3
"318","Austria",1,2,2
"319","Austria",9,3,2
"320","Austria",4,4,3
"321","Austria",7,5,4
"322","Austria",7,1,1
"323","Austria",5,3,3
"324","Austria",7,7,5
"325","Austria",8,5,2
"326","Austria",3,3,2
"327","Austria",1,1,3
"328","Austria",10,1,1
"329","Austria",5,4,2
"330","Austria",7,4,3
"331","Austria",1,1,2
"332","Austria",5,6,4
"333","Austria",3,2,3
"334","Austria",6,3,2
"335","Austria",10,1,2
"336","Austria",9,7,7
"337","Austria",9,3,2
"338","Austria",10,10,4
"339","Austria",6,4,6
"340","Austria",10,10,10
"341","Austria",5,1,1
"342","Austria",8,7,8
"343","Austria",10,3,3
"344","Austria",10,10,5
"345","Austria",7,4,3
"346","Austria",4,3,3
"347","Austria",5,3,3
"348","Austria",10,2,5
"349","Austria",8,3,5
"350","Austria",1,1,1
"351","Austria",1,1,1
"352","Austria",7,4,2
"353","Austria",10,10,4
"354","Austria",5,3,4
"355","Austria",8,4,5
"356","Austria",3,2,2
"357","Austria",10,7,9
"358","Austria",8,9,2
"359","Austria",7,2,2
"360","Austria",4,1,1
"361","Austria",10,3,3
"362","Austria",9,8,4
"363","Austria",10,4,7
"364","Austria",3,3,1
"365","Austria",1,1,1
"366","Austria",5,6,6
"367","Austria",8,-1,-2
"368","Austria",5,2,5
"369","Austria",1,1,1
"370","Austria",10,4,4
"371","Austria",10,7,3
"372","Austria",6,3,5
"373","Austria",8,3,3
"374","Austria",1,1,1
"375","Austria",3,2,3
"376","Austria",10,6,6
"377","Austria",5,2,1
"378","Austria",10,1,1
"379","Austria",5,2,3
"380","Austria",5,3,5
"381","Austria",1,1,1
"382","Austria",5,5,6
"383","Austria",4,1,2
"384","Austria",9,3,9
"385","Austria",7,4,4
"386","Austria",2,1,1
"387","Austria",5,5,5
"388","Austria",1,1,1
"389","Austria",10,10,5
"390","Austria",9,8,8
"391","Austria",4,1,2
"392","Austria",5,5,2
"393","Austria",3,1,1
"394","Austria",8,1,1
"395","Austria",10,3,1
"396","Austria",2,1,1
"397","Austria",10,5,3
"398","Austria",6,2,2
"399","Austria",3,3,3
"400","Austria",6,2,1
"401","Austria",10,2,2
"402","Austria",-1,3,4
"403","Austria",8,1,1
"404","Austria",10,2,8
"405","Austria",9,8,4
"406","Austria",10,10,10
"407","Austria",5,2,2
"408","Austria",5,3,5
"409","Austria",10,5,5
"410","Austria",2,2,3
"411","Austria",7,8,-1
"412","Austria",10,10,5
"413","Austria",6,5,3
"414","Austria",10,1,1
"415","Austria",1,2,3
"416","Austria",1,1,1
"417","Austria",9,7,2
"418","Austria",6,6,3
"419","Austria",2,4,5
"420","Austria",9,4,5
"421","Austria",5,2,1
"422","Austria",6,5,5
"423","Austria",2,1,3
"424","Austria",4,7,4
"425","Austria",3,2,2
"426","Austria",8,9,4
"427","Austria",6,1,1
"428","Austria",1,5,4
"429","Austria",10,10,4
"430","Austria",1,1,1
"431","Austria",8,4,1
"432","Austria",5,1,1
"433","Austria",6,2,1
"434","Austria",2,2,2
"435","Austria",1,1,1
"436","Austria",10,6,8
"437","Austria",3,2,1
"438","Austria",5,5,5
"439","Austria",-1,3,2
"440","Austria",2,1,1
"441","Austria",10,10,5
"442","Austria",1,1,1
"443","Austria",7,4,4
"444","Austria",8,8,10
"445","Austria",-1,1,1
"446","Austria",5,2,2
"447","Austria",7,3,3
"448","Austria",10,9,10
"449","Austria",7,7,7
"450","Austria",7,3,5
"451","Austria",5,3,2
"452","Austria",7,3,4
"453","Austria",5,7,7
"454","Austria",1,1,1
"455","Austria",2,1,1
"456","Austria",7,8,7
"457","Austria",1,1,1
"458","Austria",4,4,4
"459","Austria",10,6,6
"460","Austria",7,7,7
"461","Austria",8,3,7
"462","Austria",7,1,3
"463","Austria",10,2,2
"464","Austria",4,3,3
"465","Austria",4,1,1
"466","Austria",10,10,5
"467","Austria",10,1,2
"468","Austria",8,4,6
"469","Austria",4,3,8
"470","Austria",8,5,5
"471","Austria",5,5,4
"472","Austria",7,2,4
"473","Austria",4,2,1
"474","Austria",5,5,2
"475","Austria",10,8,8
"476","Austria",3,10,10
"477","Austria",10,10,8
"478","Austria",8,4,2
"479","Austria",4,10,5
"480","Austria",7,1,1
"481","Austria",5,6,6
"482","Austria",8,8,6
"483","Austria",10,6,5
"484","Austria",4,5,1
"485","Austria",8,3,3
"486","Austria",4,1,1
"487","Austria",6,3,2
"488","Austria",9,7,7
"489","Austria",10,10,8
"490","Austria",5,3,2
"491","Austria",4,3,2
"492","Austria",1,1,1
"493","Austria",10,8,8
"494","Austria",3,2,1
"495","Austria",2,1,2
"496","Austria",1,5,1
"497","Austria",1,1,1
"498","Austria",4,1,1
"499","Austria",3,6,3
"500","Austria",5,7,1
"501","Austria",5,7,3
"502","Austria",10,6,6
"503","Austria",6,3,4
"504","Austria",1,1,1
"505","Austria",5,2,1
"506","Austria",5,1,1
"507","Austria",8,5,5
"508","Austria",10,10,10
"509","Austria",5,3,3
"510","Austria",10,10,10
"511","Austria",5,5,2
"512","Austria",8,7,5
"513","Austria",7,2,3
"514","Austria",10,3,10
"515","Austria",3,2,1
"516","Austria",8,1,2
"517","Austria",10,8,4
"518","Austria",7,3,7
"519","Austria",8,2,2
"520","Austria",3,1,1
"521","Austria",-1,5,7
"522","Austria",9,9,9
"523","Austria",5,3,1
"524","Austria",7,6,5
"525","Austria",1,2,2
"526","Austria",1,1,1
"527","Austria",10,1,1
"528","Austria",5,5,5
"529","Austria",-1,3,4
"530","Austria",8,2,1
"531","Austria",2,2,4
"532","Austria",1,1,1
"533","Austria",7,2,3
"534","Austria",5,2,1
"535","Austria",5,8,5
"536","Austria",7,2,3
"537","Austria",10,4,1
"538","Austria",5,4,5
"539","Austria",5,1,1
"540","Austria",9,5,4
"541","Austria",5,3,5
"542","Austria",4,2,1
"543","Austria",9,9,3
"544","Austria",5,4,4
"545","Austria",10,1,1
"546","Austria",10,5,10
"547","Austria",3,1,1
"548","Austria",10,3,2
"549","Austria",4,5,6
"550","Austria",10,4,1
"551","Austria",10,8,7
"552","Austria",3,2,1
"553","Austria",6,6,5
"554","Austria",5,5,5
"555","Austria",9,4,5
"556","Austria",9,-1,8
"557","Austria",2,1,1
"558","Austria",5,3,4
"559","Austria",8,8,4
"560","Austria",4,5,1
"561","Austria",5,4,3
"562","Austria",10,4,4
"563","Austria",5,3,3
"564","Austria",5,4,3
"565","Austria",6,7,5
"566","Austria",7,5,4
"567","Austria",1,1,1
"568","Austria",5,3,1
"569","Austria",5,6,4
"570","Austria",7,1,3
"571","Austria",6,4,2
"572","Austria",4,1,1
"573","Austria",6,5,4
"574","Austria",7,7,7
"575","Austria",2,2,2
"576","Austria",7,1,3
"577","Austria",8,3,5
"578","Austria",5,3,3
"579","Austria",4,4,4
"580","Austria",8,3,3
"581","Austria",7,4,4
"582","Austria",3,1,1
"583","Austria",10,10,3
"584","Austria",3,3,1
"585","Austria",8,4,7
"586","Austria",10,10,10
"587","Austria",7,4,4
"588","Austria",5,3,2
"589","Austria",7,4,3
"590","Austria",3,2,1
"591","Austria",-2,3,1
"592","Austria",9,4,5
"593","Austria",4,5,6
"594","Austria",1,1,1
"595","Austria",10,5,3
"596","Austria",1,1,1
"597","Austria",8,2,1
"598","Austria",8,7,8
"599","Austria",5,3,1
"600","Austria",10,1,1
"601","Austria",10,1,1
"602","Austria",9,7,4
"603","Austria",1,1,1
"604","Austria",4,1,1
"605","Austria",1,1,1
"606","Austria",8,2,5
"607","Austria",2,4,2
"608","Austria",7,5,4
"609","Austria",10,2,3
"610","Austria",5,5,1
"611","Austria",1,1,1
"612","Austria",6,3,2
"613","Austria",6,1,1
"614","Austria",4,2,2
"615","Austria",5,3,2
"616","Austria",7,6,2
"617","Austria",5,3,1
"618","Austria",10,4,6
"619","Austria",9,2,2
"620","Austria",3,2,3
"621","Austria",2,1,1
"622","Austria",10,10,8
"623","Austria",1,1,4
"624","Austria",-1,4,3
"625","Austria",-1,6,6
"626","Austria",4,1,3
"627","Austria",-2,-2,-2
"628","Austria",5,2,5
"629","Austria",5,4,4
"630","Austria",7,1,1
"631","Austria",7,3,2
"632","Austria",7,7,3
"633","Austria",4,4,2
"634","Austria",5,5,5
"635","Austria",2,1,1
"636","Austria",5,2,1
"637","Austria",3,4,4
"638","Austria",3,1,2
"639","Austria",8,4,4
"640","Austria",10,5,1
"641","Austria",6,1,1
"642","Austria",1,1,1
"643","Austria",-1,1,1
"644","Austria",4,3,2
"645","Austria",7,4,4
"646","Austria",5,5,5
"647","Austria",4,3,1
"648","Austria",3,3,3
"649","Austria",10,3,3
"650","Austria",9,9,9
"651","Austria",8,3,3
"652","Austria",9,9,3
"653","Austria",8,2,2
"654","Austria",5,3,2
"655","Austria",10,1,1
"656","Austria",3,1,1
"657","Austria",10,10,10
"658","Austria",10,3,5
"659","Austria",6,3,1
"660","Austria",2,1,1
"661","Austria",1,1,1
"662","Austria",7,4,1
"663","Austria",4,4,3
"664","Austria",10,1,1
"665","Austria",9,2,3
"666","Austria",7,5,1
"667","Austria",7,5,5
"668","Austria",4,3,2
"669","Austria",9,4,2
"670","Austria",3,5,1
"671","Austria",7,3,7
"672","Austria",2,1,1
"673","Austria",4,1,1
"674","Austria",4,3,3
"675","Austria",8,3,3
"676","Austria",2,2,1
"677","Austria",4,4,3
"678","Austria",10,6,4
"679","Austria",4,1,1
"680","Austria",10,3,2
"681","Austria",2,1,1
"682","Austria",10,10,7
"683","Austria",3,5,4
"684","Austria",4,3,6
"685","Austria",6,7,3
"686","Austria",3,2,2
"687","Austria",8,5,4
"688","Austria",10,5,8
"689","Austria",10,4,5
"690","Austria",3,1,1
"691","Austria",6,4,3
"692","Austria",6,4,3
"693","Austria",4,4,2
"694","Austria",5,5,5
"695","Austria",7,3,4
"696","Austria",7,3,3
"697","Austria",-2,7,5
"698","Austria",5,3,1
"699","Austria",3,4,1
"700","Austria",5,1,1
"701","Austria",3,1,1
"702","Austria",5,2,1
"703","Austria",4,6,4
"704","Austria",5,1,1
"705","Austria",1,1,1
"706","Austria",8,3,3
"707","Austria",5,4,3
"708","Austria",-2,6,4
"709","Austria",6,3,3
"710","Austria",8,7,2
"711","Austria",8,2,3
"712","Austria",8,8,9
"713","Austria",4,3,4
"714","Austria",10,1,1
"715","Austria",9,5,5
"716","Austria",10,10,10
"717","Austria",9,4,4
"718","Austria",6,5,4
"719","Austria",5,2,2
"720","Austria",7,3,4
"721","Austria",7,4,5
"722","Austria",10,4,2
"723","Austria",4,5,5
"724","Austria",5,3,3
"725","Austria",3,2,5
"726","Austria",8,6,3
"727","Austria",6,3,1
"728","Austria",2,1,1
"729","Austria",8,8,5
"730","Austria",10,10,5
"731","Austria",1,1,1
"732","Austria",9,3,5
"733","Austria",7,4,4
"734","Austria",10,10,2
"735","Austria",4,1,1
"736","Austria",5,3,2
"737","Austria",1,1,1
"738","Austria",8,3,5
"739","Austria",5,4,6
"740","Austria",10,1,1
"741","Austria",4,1,1
"742","Austria",9,10,4
"743","Austria",10,2,5
"744","Austria",8,3,3
"745","Austria",7,3,2
"746","Austria",5,3,2
"747","Austria",5,8,4
"748","Austria",3,1,1
"749","Austria",5,4,2
"750","Austria",5,3,1
"751","Austria",8,6,6
"752","Austria",6,1,1
"753","Austria",7,3,3
"754","Austria",9,3,3
"755","Austria",3,1,1
"756","Austria",7,3,3
"757","Austria",4,3,5
"758","Austria",6,3,4
"759","Austria",-1,2,1
"760","Austria",4,1,1
"761","Austria",7,3,1
"762","Austria",10,10,5
"763","Austria",6,5,4
"764","Austria",5,8,7
"765","Austria",5,3,3
"766","Austria",4,1,1
"767","Austria",10,10,10
"768","Austria",7,2,3
"769","Austria",1,1,1
"770","Austria",7,2,4
"771","Austria",7,5,5
"772","Austria",9,3,8
"773","Austria",6,5,-2
"774","Austria",10,10,10
"775","Austria",5,1,1
"776","Austria",3,1,1
"777","Austria",4,2,3
"778","Austria",9,5,6
"779","Austria",5,2,4
"780","Austria",5,3,1
"781","Austria",5,2,2
"782","Austria",7,1,1
"783","Austria",6,1,1
"784","Austria",1,1,1
"785","Austria",8,10,7
"786","Austria",5,1,3
"787","Austria",3,4,3
"788","Austria",5,2,2
"789","Austria",10,3,2
"790","Austria",4,2,2
"791","Austria",8,6,8
"792","Austria",2,2,1
"793","Austria",3,3,2
"794","Austria",5,3,1
"795","Austria",8,1,1
"796","Austria",3,3,1
"797","Austria",6,4,5
"798","Austria",9,5,5
"799","Austria",4,3,3
"800","Austria",8,6,6
"801","Austria",8,1,1
"802","Austria",8,2,7
"803","Austria",2,3,2
"804","Austria",8,1,6
"805","Austria",-2,1,1
"806","Austria",8,3,5
"807","Austria",8,1,1
"808","Austria",8,4,4
"809","Austria",3,4,2
"810","Austria",5,3,3
"811","Austria",5,5,4
"812","Austria",6,3,8
"813","Austria",10,10,8
"814","Austria",5,3,2
"815","Austria",5,1,1
"816","Austria",8,3,4
"817","Austria",10,10,2
"818","Austria",3,3,1
"819","Austria",1,1,1
"820","Austria",1,5,1
"821","Austria",5,4,1
"822","Austria",5,3,3
"823","Austria",2,3,1
"824","Austria",10,6,6
"825","Austria",5,3,3
"826","Austria",5,3,4
"827","Austria",8,4,5
"828","Austria",9,6,6
"829","Austria",8,2,1
"830","Austria",6,3,1
"831","Austria",-1,5,4
"832","Austria",3,3,3
"833","Austria",3,5,2
"834","Austria",5,5,5
"835","Austria",10,1,1
"836","Austria",10,1,1
"837","Austria",8,2,4
"838","Austria",7,1,1
"839","Austria",3,2,1
"840","Austria",7,6,7
"841","Austria",10,3,2
"842","Austria",9,8,4
"843","Austria",5,4,3
"844","Austria",2,1,1
"845","Austria",5,1,3
"846","Austria",5,4,1
"847","Austria",9,1,1
"848","Austria",8,3,4
"849","Austria",2,2,2
"850","Austria",5,4,3
"851","Austria",1,1,1
"852","Austria",10,8,7
"853","Austria",5,1,1
"854","Austria",3,1,1
"855","Austria",10,10,5
"856","Austria",5,3,4
"857","Austria",10,3,3
"858","Austria",10,7,4
"859","Austria",2,2,6
"860","Austria",10,10,10
"861","Austria",2,1,1
"862","Austria",8,1,1
"863","Austria",4,2,1
"864","Austria",10,9,7
"865","Austria",5,3,3
"866","Austria",5,1,1
"867","Austria",6,1,1
"868","Austria",1,1,1
"869","Austria",5,5,5
"870","Austria",7,1,3
"871","Austria",5,6,7
"872","Austria",3,2,4
"873","Austria",8,4,3
"874","Austria",3,2,1
"875","Austria",-1,1,1
"876","Austria",5,4,3
"877","Austria",5,2,1
"878","Austria",7,7,2
"879","Austria",2,1,1
"880","Austria",1,5,7
"881","Austria",4,2,2
"882","Austria",1,1,1
"883","Austria",3,1,1
"884","Austria",5,4,4
"885","Austria",5,3,4
"886","Austria",5,3,2
"887","Austria",1,1,1
"888","Austria",5,2,2
"889","Austria",4,3,5
"890","Austria",8,2,2
"891","Austria",2,4,1
"892","Austria",9,2,2
"893","Austria",5,1,1
"894","Austria",4,1,1
"895","Austria",2,2,1
"896","Austria",7,2,1
"897","Austria",8,8,10
"898","Austria",5,4,2
"899","Austria",3,2,1
"900","Austria",9,5,2
"901","Austria",5,1,1
"902","Austria",1,3,2
"903","Austria",4,3,5
"904","Austria",7,5,7
"905","Austria",5,3,4
"906","Austria",4,1,1
"907","Austria",10,5,6
"908","Austria",3,3,2
"909","Austria",7,2,3
"910","Austria",3,1,2
"911","Austria",10,4,3
"912","Austria",3,1,1
"913","Austria",9,8,9
"914","Austria",7,9,4
"915","Austria",6,2,4
"916","Austria",5,1,1
"917","Austria",1,4,2
"918","Austria",1,1,1
"919","Austria",5,5,5
"920","Austria",5,5,5
"921","Austria",7,3,3
"922","Austria",6,1,1
"923","Austria",3,1,1
"924","Austria",7,5,4
"925","Austria",6,1,1
"926","Austria",7,4,10
"927","Austria",2,1,1
"928","Austria",7,1,1
"929","Austria",6,1,1
"930","Austria",1,1,1
"931","Austria",8,8,7
"932","Austria",5,4,4
"933","Austria",5,5,2
"934","Austria",2,1,1
"935","Austria",8,8,2
"936","Austria",4,2,1
"937","Austria",10,5,1
"938","Austria",2,2,2
"939","Austria",9,8,7
"940","Austria",4,5,2
"941","Austria",6,4,3
"942","Austria",4,4,3
"943","Austria",3,4,4
"944","Austria",1,2,2
"945","Austria",8,8,1
"946","Austria",3,1,1
"947","Austria",9,8,7
"948","Austria",1,1,1
"949","Austria",8,2,2
"950","Austria",1,1,1
"951","Austria",5,3,1
"952","Austria",6,1,1
"953","Austria",10,3,3
"954","Austria",10,10,10
"955","Austria",3,1,2
"956","Austria",7,1,1
"957","Austria",3,1,2
"958","Austria",4,4,2
"959","Austria",7,7,7
"960","Austria",5,5,2
"961","Austria",9,3,3
"962","Austria",9,3,5
"963","Austria",6,7,8
"964","Austria",2,1,2
"965","Austria",5,5,3
"966","Austria",7,3,6
"967","Austria",10,3,1
"968","Austria",3,1,1
"969","Austria",4,2,2
"970","Austria",1,1,1
"971","Austria",9,5,5
"972","Austria",3,2,2
"973","Austria",4,1,1
"974","Austria",3,3,1
"975","Austria",5,1,1
"976","Austria",5,4,5
"977","Austria",1,1,1
"978","Austria",1,4,9
"979","Austria",10,2,1
"980","Austria",6,5,4
"981","Austria",10,10,10
"982","Austria",4,3,4
"983","Austria",1,1,1
"984","Austria",3,2,-1
"985","Austria",6,4,3
"986","Austria",3,5,6
"987","Austria",4,2,2
"988","Austria",10,10,10
"989","Austria",-2,-2,-2
"990","Austria",5,5,2
"991","Austria",6,3,4
"992","Austria",10,-1,-1
"993","Austria",10,1,1
"994","Austria",3,1,1
"995","Austria",3,4,8
"996","Austria",5,3,2
"997","Austria",2,1,2
"998","Austria",10,10,10
"999","Austria",3,2,1
"1000","Austria",10,1,1
"1001","Austria",5,1,1
"1002","Austria",5,1,1
"1003","Austria",7,4,5
"1004","Austria",2,7,-1
"1005","Austria",8,5,7
"1006","Austria",5,4,2
"1007","Austria",4,4,3
"1008","Austria",5,5,3
"1009","Austria",5,3,1
"1010","Austria",2,1,1
"1011","Austria",10,1,1
"1012","Austria",3,1,1
"1013","Austria",4,2,3
"1014","Austria",4,1,1
"1015","Austria",6,4,3
"1016","Austria",9,3,7
"1017","Austria",1,1,2
"1018","Austria",8,10,7
"1019","Austria",2,2,2
"1020","Austria",3,2,1
"1021","Austria",5,2,3
"1022","Austria",4,3,8
"1023","Austria",5,3,2
"1024","Austria",7,4,5
"1025","Austria",7,7,7
"1026","Austria",7,5,8
"1027","Austria",3,1,1
"1028","Austria",5,5,3
"1029","Austria",10,5,4
"1030","Austria",3,2,2
"1031","Austria",6,1,1
"1032","Austria",3,3,3
"1033","Austria",5,5,5
"1034","Austria",6,1,1
"1035","Austria",10,1,1
"1036","Austria",4,3,1
"1037","Austria",6,2,1
"1038","Austria",10,10,3
"1039","Austria",6,1,1
"1040","Austria",5,5,3
"1041","Austria",10,1,1
"1042","Austria",-2,1,1
"1043","Austria",8,2,2
"1044","Austria",5,4,4
"1045","Austria",10,10,9
"1046","Austria",2,2,4
"1047","Austria",5,1,1
"1048","Austria",1,3,2
"1049","Austria",4,2,3
"1050","Austria",4,1,1
"1051","Austria",5,4,3
"1052","Austria",5,2,1
"1053","Austria",1,1,1
"1054","Austria",8,4,2
"1055","Austria",5,1,1
"1056","Austria",5,3,1
"1057","Austria",6,1,1
"1058","Austria",3,2,2
"1059","Austria",4,3,1
"1060","Austria",1,1,1
"1061","Austria",8,6,7
"1062","Austria",1,1,1
"1063","Austria",7,3,2
"1064","Austria",7,5,8
"1065","Austria",1,1,1
"1066","Austria",7,4,3
